2019-04-02T11:33:21.838+0800 I COMMAND  [conn6] command shop.svg_modules command: create { create: "svg_modules", idIndex: { name: "_id_", ns: "shop.svg_modules", key: { _id: 1 } }, $db: "shop" } numYields:0 reslen:53 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 }, acquireWaitCount: { W: 1 }, timeAcquiringMicros: { W: 1669402 } } } protocol:op_query 2489ms
2019-04-02T11:33:21.839+0800 I STORAGE  [conn7] createCollection: shop.swiper_modules with generated UUID: 94d95726-ab4f-464f-8f95-c153986cd7e9
2019-04-02T11:33:21.839+0800 I COMMAND  [conn5] command shop.records_modules command: insert { insert: "records_modules", writeConcern: { getLastError: 1, w: 1 }, ordered: false, $db: "shop" } ninserted:1 keysInserted:1 numYields:0 reslen:60 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 2481474 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 2482ms
2019-04-02T11:33:22.603+0800 I COMMAND  [conn7] command shop.swiper_modules command: create { create: "swiper_modules", idIndex: { name: "_id_", ns: "shop.swiper_modules", key: { _id: 1 } }, $db: "shop" } numYields:0 reslen:53 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 }, acquireWaitCount: { W: 1 }, timeAcquiringMicros: { W: 1640055 } } } protocol:op_query 2403ms
2019-04-02T11:33:22.607+0800 I NETWORK  [conn4] end connection 127.0.0.1:50076 (4 connections now open)
2019-04-02T11:33:22.607+0800 I NETWORK  [conn6] end connection 127.0.0.1:50078 (3 connections now open)
2019-04-02T11:33:22.607+0800 I NETWORK  [conn5] end connection 127.0.0.1:50077 (2 connections now open)
2019-04-02T11:33:22.614+0800 I NETWORK  [conn7] end connection 127.0.0.1:50079 (1 connection now open)
2019-04-02T11:35:11.794+0800 I NETWORK  [listener] connection accepted from 127.0.0.1:50587 #8 (2 connections now open)
2019-04-02T11:35:11.834+0800 I NETWORK  [listener] connection accepted from 127.0.0.1:50588 #9 (3 connections now open)
2019-04-02T11:35:11.834+0800 I STORAGE  [conn8] createCollection: note.headers with generated UUID: 74f06a59-10ea-47e5-8c8b-042c8866412c
2019-04-02T11:35:11.835+0800 I NETWORK  [listener] connection accepted from 127.0.0.1:50589 #10 (4 connections now open)
2019-04-02T11:35:12.596+0800 I STORAGE  [conn9] createCollection: note.leftnavs with generated UUID: a2abfcc3-86cf-43e5-a7f8-248e5b6f7d1d
2019-04-02T11:35:12.596+0800 I COMMAND  [conn8] command note.headers command: create { create: "headers", idIndex: { name: "_id_", ns: "note.headers", key: { _id: 1 } }, $db: "note" } numYields:0 reslen:53 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 } } } protocol:op_query 761ms
2019-04-02T11:35:13.371+0800 I COMMAND  [conn9] command note.leftnavs command: create { create: "leftnavs", idIndex: { name: "_id_", ns: "note.leftnavs", key: { _id: 1 } }, $db: "note" } numYields:0 reslen:53 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 }, acquireWaitCount: { W: 1 }, timeAcquiringMicros: { W: 760842 } } } protocol:op_query 1536ms
2019-04-02T11:35:13.372+0800 I COMMAND  [conn10] command note.$cmd command: listCollections { listCollections: 1, cursor: { batchSize: 0 }, $db: "note" } numYields:0 reslen:129 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 }, acquireWaitCount: { r: 1 }, timeAcquiringMicros: { r: 1536218 } }, Collection: { acquireCount: { r: 2 } } } protocol:op_query 1536ms
2019-04-02T11:35:13.373+0800 I COMMAND  [conn8] command note.headers command: insert { insert: "headers", writeConcern: { getLastError: 1, w: 1 }, ordered: false, $db: "note" } ninserted:7 keysInserted:7 numYields:0 reslen:60 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 773987 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 775ms
2019-04-02T11:35:13.374+0800 I STORAGE  [conn10] createCollection: note.css_modules with generated UUID: 14226634-1ff2-45eb-892a-046f66d8a15c
2019-04-02T11:35:13.374+0800 I NETWORK  [listener] connection accepted from 127.0.0.1:50598 #11 (5 connections now open)
2019-04-02T11:35:14.078+0800 I COMMAND  [conn10] command note.css_modules command: create { create: "css_modules", idIndex: { name: "_id_", ns: "note.css_modules", key: { _id: 1 } }, $db: "note" } numYields:0 reslen:53 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 } } } protocol:op_query 703ms
2019-04-02T11:35:14.078+0800 I STORAGE  [conn8] createCollection: note.js_modules with generated UUID: 83533c06-7129-45e9-8c70-9dbd45762c02
2019-04-02T11:35:14.809+0800 I STORAGE  [conn9] createCollection: note.records_modules with generated UUID: cc2dfea0-a6e5-42aa-80dc-f9bf17ffe7b8
2019-04-02T11:35:14.809+0800 I COMMAND  [conn8] command note.js_modules command: create { create: "js_modules", idIndex: { name: "_id_", ns: "note.js_modules", key: { _id: 1 } }, $db: "note" } numYields:0 reslen:53 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 }, acquireWaitCount: { W: 1 }, timeAcquiringMicros: { W: 703764 } } } protocol:op_query 1434ms
2019-04-02T11:35:15.921+0800 I COMMAND  [conn9] command note.records_modules command: create { create: "records_modules", idIndex: { name: "_id_", ns: "note.records_modules", key: { _id: 1 } }, $db: "note" } numYields:0 reslen:53 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 }, acquireWaitCount: { W: 1 }, timeAcquiringMicros: { W: 1433736 } } } protocol:op_query 2546ms
2019-04-02T11:35:15.921+0800 I STORAGE  [conn11] createCollection: note.node_modules with generated UUID: 67ac282b-13d7-4a0d-8c28-8520b6fc3a6a
2019-04-02T11:35:16.753+0800 I COMMAND  [conn11] command note.node_modules command: create { create: "node_modules", idIndex: { name: "_id_", ns: "note.node_modules", key: { _id: 1 } }, $db: "note" } numYields:0 reslen:53 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 }, acquireWaitCount: { W: 1 }, timeAcquiringMicros: { W: 2545849 } } } protocol:op_query 3377ms
2019-04-02T11:35:16.754+0800 I COMMAND  [conn10] command note.css_modules command: insert { insert: "css_modules", writeConcern: { getLastError: 1, w: 1 }, ordered: false, $db: "note" } ninserted:1 keysInserted:1 numYields:0 reslen:60 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1 }, acquireWaitCount: { w: 1 }, timeAcquiringMicros: { w: 2672666 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 2674ms
